#Sequencing_Panel	Illumina_ID	Sample_ID	Sample_ID(Aliases)	SGDP_ID	Population_ID	Region	Country	Town	Contributor	Gender	Latitude	Longitude	DNA_Source	Embargo	"SGDP-lite category: X=FullyPublic, Y=SignedLetterNoDelay, Z=SignedLetterDelay, DO_NOT_USE=do.not.use"
C	LP6005592-DNA_B04	HG02724	HG02724	S_Punjabi-1	Punjabi	SouthAsia	Pakistan	Lahore	1KG	M	31.5	74.3	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_A12	HG02783	HG02783	S_Punjabi-2	Punjabi	SouthAsia	Pakistan	Lahore	1KG	M	31.5	74.3	Genomic_from_cell_lines	FullyPublic	X
C	LP6005442-DNA_B12	HG02790	HG02790	S_Punjabi-3	Punjabi	SouthAsia	Pakistan	Lahore	1KG	F	31.5	74.3	Genomic_from_cell_lines	FullyPublic	X
C	LP6005441-DNA_B10	HGDP00550	HGDP00550	S_Papuan-1	Papuan	Oceania	PapuaNewGuinea	NewGuinea	Howard Cann	F	-4.0	143.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_B08	HGDP00553	HGDP00553	S_Papuan-10	Papuan	Oceania	PapuaNewGuinea	NewGuinea	Howard Cann	M	-4.0	143.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_C07	HGDP00555	HGDP00555	S_Papuan-11	Papuan	Oceania	PapuaNewGuinea	NewGuinea	Howard Cann	M	-4.0	143.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_G07	HGDP00556	HGDP00556	S_Papuan-12	Papuan	Oceania	PapuaNewGuinea	NewGuinea	Howard Cann	M	-4.0	143.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_D08	HGDP00552	HGDP00552	S_Papuan-13	Papuan	Oceania	PapuaNewGuinea	NewGuinea	Howard Cann	F	-4.0	143.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_E08	HGDP00554	HGDP00554	S_Papuan-14	Papuan	Oceania	PapuaNewGuinea	NewGuinea	Howard Cann	F	-4.0	143.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_H07	HGDP00540	HGDP00540	S_Papuan-2	Papuan	Oceania	PapuaNewGuinea	NewGuinea	Howard Cann	M	-4.0	143.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_E07	HGDP00543	HGDP00543	S_Papuan-4	Papuan	Oceania	PapuaNewGuinea	NewGuinea	Howard Cann	M	-4.0	143.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_D07	HGDP00545	HGDP00545	S_Papuan-5	Papuan	Oceania	PapuaNewGuinea	NewGuinea	Howard Cann	M	-4.0	143.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_C08	HGDP00547	HGDP00547	S_Papuan-6	Papuan	Oceania	PapuaNewGuinea	NewGuinea	Howard Cann	M	-4.0	143.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_F07	HGDP00548	HGDP00548	S_Papuan-7	Papuan	Oceania	PapuaNewGuinea	NewGuinea	Howard Cann	M	-4.0	143.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_A08	HGDP00549	HGDP00549	S_Papuan-8	Papuan	Oceania	PapuaNewGuinea	NewGuinea	Howard Cann	M	-4.0	143.0	Genomic_from_cell_lines	FullyPublic	X
C	LP6005443-DNA_F08	HGDP00551	HGDP00551	S_Papuan-9	Papuan	Oceania	PapuaNewGuinea	NewGuinea	Howard Cann	M	-4.0	143.0	Genomic_from_cell_lines	FullyPublic	X
B	LP6007076-DNA_A01	SS6004486	SS6004486	BR_Kashmiri_Pandit-1	Kashmiri_Pandit	SouthAsia	India	"Draw, Jammu & Kashmir"	K. Thangaraj / Lalji Singh	M	34.43333333	75.75	Genomic_from_blood	SignedLetterNoDelay	Y
B	LP6007071-DNA_A01	SS6004481	SS6004481	BR_Kharia-1	Kharia	SouthAsia	India	"Tapkara, Chattisgarh"	K. Thangaraj / Lalji Singh	M	22.5	83.95	Genomic_from_blood	SignedLetterNoDelay	Y
B	LP6007072-DNA_A01	SS6004482	SS6004482	BR_Kurumba-1	Kurumba	SouthAsia	India	"Palakkad, Kerala"	K. Thangaraj / Lalji Singh	M	10.78333333	76.65	Genomic_from_blood	SignedLetterNoDelay	Y
B	LP6007075-DNA_A01	SS6004485	SS6004485	BR_Mala-1	Mala	SouthAsia	India	"Vishakapatman, Andhra Pradesh"	K. Thangaraj / Lalji Singh	F	17.68333333	83.21666667	Genomic_from_blood	SignedLetterNoDelay	Y
B	LP6007073-DNA_A01	SS6004483	SS6004483	BR_Onge-1	Onge	SouthAsia	India	Andaman & Nicobar	K. Thangaraj / Lalji Singh	F	11.66666667	92.65	Genomic_from_blood	SignedLetterNoDelay	Y
B	LP6007074-DNA_A01	SS6004484	SS6004484	BR_Onge-2	Onge	SouthAsia	India	Andaman & Nicobar	K. Thangaraj / Lalji Singh	F	11.66666667	92.65	Genomic_from_blood	SignedLetterNoDelay	Y
C	LP6005519-DNA_A09	COKN016	COKN016	S_Kongo-2	Kongo	Africa	Congo	Bandevouri-Fang	Sarah Tishkoff	F	2.5	11.8	Genomic_from_blood	SignedLetterNoDelay	Y
C	LP6005519-DNA_A03	Mex02	Mex02	S_Nahua-1	Nahua	America	Mexico	Zitlala	Chris Tyler-Smith / Andres Ruiz-Linares / Andres Moreno-Estrada	U	19.01	-99.06	Genomic_from_saliva	SignedLetterNoDelay	Y
C	LP6005519-DNA_B03	Mex20	Mex20	S_Nahua-2	Nahua	America	Mexico	Zitlala	Chris Tyler-Smith / Andres Ruiz-Linares / Andres Moreno-Estrada	M	19.01	-99.06	Genomic_from_saliva	SignedLetterNoDelay	Y
C	LP6005442-DNA_H06	NAD93	NAD93	S_Chipewyan-1	Chipewyan	America	Canada	Uranium City	Damian Labuda	F	59.6	-107.3	Genomic_from_blood	SignedLetterNoDelay	Y
C	LP6005443-DNA_F05	NAD59	NAD59	S_Chipewyan-2	Chipewyan	America	Canada	Saskatchewan	Damian Labuda	M	59.6	-107.3	Genomic_from_blood	SignedLetterNoDelay	Y
C	LP6005442-DNA_A07	Cree5	Cree5	S_Cree-1	Cree	America	Canada	Saskatchewan	Damian Labuda	M	50.3	-102.5	Genomic_from_blood	SignedLetterNoDelay	Y
C	LP6005442-DNA_B07	Cree6	Cree6	S_Cree-2	Cree	America	Canada	Saskatchewan	Damian Labuda	F	50.3	-102.5	Genomic_from_blood	SignedLetterNoDelay	Y
C	LP6005519-DNA_A12	NGIB034	NGIB034	S_Igbo-1	Igbo	Africa	Nigeria	Kwamba Suleja	Sarah Tishkoff	M	6.0	7.0	Genomic_from_blood	SignedLetterNoDelay	Y
C	LP6005519-DNA_B12	NGIB042	NGIB042	S_Igbo-2	Igbo	Africa	Nigeria	Kwamba Suleja	Sarah Tishkoff	F	6.0	7.0	Genomic_from_blood	SignedLetterNoDelay	Y
C	LP6005677-DNA_C04	CALM031	CALM031	S_Lemande-1	Lemande	Africa	Cameroon	Tobagne	Sarah Tishkoff	F	4.5	11.1	Genomic_from_blood	SignedLetterNoDelay	Y
C	LP6005677-DNA_D04	CALM016	CALM016	S_Lemande-2	Lemande	Africa	Cameroon	Tobagne	Sarah Tishkoff	M	4.5	11.1	Genomic_from_blood	SignedLetterNoDelay	Y
C	LP6005592-DNA_E05	ADR1	ADR1	T_Sherpa-1	Sherpa	SouthAsia	Nepal	Khumbu	Anna Di Rienzo / Cynthia Beall	M	27.8	86.7	Genomic from saliva	SignedLetterNoDelay	Y
C	LP6005592-DNA_F05	ADR2	ADR2	T_Sherpa-2	Sherpa	SouthAsia	Nepal	Khumbu	Anna Di Rienzo / Cynthia Beall	F	27.8	86.7	Genomic from saliva	SignedLetterNoDelay	Y
C	LP6005592-DNA_G05	ADR3	ADR3	T_Tibetan-1	Tibetan	SouthAsia	Tibet	Gorkha District	Anna Di Rienzo / Cynthia Beall	F	28.9	84.3	Genomic from saliva	SignedLetterNoDelay	Y
C	LP6005619-DNA_A01	ADR4	ADR4	T_Tibetan-2	Tibetan	SouthAsia	Tibet	Mustang District	Anna Di Rienzo / Cynthia Beall	F	28.9	84.3	Genomic from saliva	SignedLetterNoDelay	Y
